DeviceName,Brand,technology,gprs,edge,announced,status,dimensions,weight,sim,size,card_slot,battery,stand_by_hours,talk_time_hours,cpu,internal_memory_mb,os,primary_camera_mp
Apple iPhone 3G,Apple,GSM / HSPA,Yes,Yes,"2008, June. Released 2008, July",Discontinued,115.5 x 62.1 x 12.3 mm (4.55 x 2.44 x 0.48 in),133 g (4.69 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors",No,Non-removable Li-Ion battery,300,10,412 MHz ARM 11,8192,"iOS, upgradable to iOS 4.2.1",2
Apple iPhone 3GS,Apple,GSM / HSPA,Yes,Yes,"2009, June. Released 2009, June",Discontinued,115.5 x 62.1 x 12.3 mm (4.55 x 2.44 x 0.48 in),135 g (4.76 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors",No,Non-removable Li-Ion battery,300,12,600 MHz Cortex-A8,8192,"iOS 3, upgradable to iOS 6.1.6",3.15
Apple iPhone 4,Apple,GSM / HSPA,Class 10,Class 10,"2010, June","Available. Released 2010, June",115.2 x 58.6 x 9.3 mm (4.54 x 2.31 x 0.37 in),137 g (4.83 oz),Micro-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 1420 mAh battery,300,14,1.0 GHz Cortex-A8,8192,"iOS 4, upgradable to iOS 7.1.1",5
Apple iPhone 4 CDMA,Apple,CDMA / EVDO,No,No,"2011, January","Available. Released 2011, February",115.2 x 58.6 x 9.3 mm (4.54 x 2.31 x 0.37 in),137 g (4.83 oz),Micro-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 1420 mAh battery,,,1.0 GHz Cortex-A8,16384,"iOS 4, upgradable to iOS 7.1.1",5
Apple iPad Wi-Fi + 3G,Apple,GSM / HSPA,Yes,Yes,"2010, January","Available. Released 2010, March",242.8 x 189.7 x 13.4 mm (9.56 x 7.47 x 0.53 in),730 g (1.61 lb),Micro-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 6600 mAh battery (24.8 Wh),,,1.0 GHz Cortex-A8,16384,"iOS 4, upgradable to iOS 5.1.1",
Apple iPad Wi-Fi,Apple,No cellular connectivity,No,No,"2010, January. Released 2010, March",Discontinued,242.8 x 189.7 x 13.4 mm (9.56 x 7.47 x 0.53 in),680 g (1.50 lb),No,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 6600 mAh battery (24.8 Wh),,,1.0 GHz Cortex-A8,16384,"iOS 4, upgradable to iOS 5.1.1",
Apple iPad 2 Wi-Fi,Apple,No cellular connectivity,No,No,"2011, March. Released 2011, March",Discontinued,241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in),601 g (1.32 lb),No,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 6930 mAh battery (25 Wh),720,10,Dual-core 1.0 GHz Cortex-A9,16384,"iOS 4, upgradable to iOS 9.2",0.7
Apple iPad 2 Wi-Fi + 3G,Apple,GSM / HSPA,Yes,Yes,"2011, March","Available. Released 2011, March",241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in),607 g (1.34 lb),Micro-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 6930 mAh battery (25 Wh),720,9,Dual-core 1.0 GHz Cortex-A9,16384,"iOS 4, upgradable to iOS 9.2",0.7
Apple iPad 2 CDMA,Apple,CDMA / EVDO,No,No,"2011, March","Available. Released 2011, March",241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in),607 g (1.34 lb),Mini-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 6930 mAh battery (25 Wh),,,Dual-core 1.0 GHz Cortex-A9,16384,"iOS 4, upgradable to iOS 9.2",0.7
Apple iPhone 4s,Apple,GSM / CDMA / HSPA / EVDO,Yes,Yes,"2011, October","Available. Released 2011, October",115.2 x 58.6 x 9.3 mm (4.54 x 2.31 x 0.37 in),140 g (4.94 oz),Micro-SIM,"LED-backlit IPS LCD, capacitive touchscreen, 16M colors",No,Non-removable Li-Po 1432 mAh battery (5.3 Wh),200,14,Dual-core 1.0 GHz Cortex-A9,8192,"iOS 5, upgradable to iOS 9.2",8
