DeviceName,Brand,technology,gprs,edge,announced,status,dimensions,weight,sim,size,card_slot,battery,stand_by_hours,talk_time_hours,cpu,internal_memory_mb,os,primary_camera_mp
OnePlus 2,OnePlus,GSM / HSPA / LTE,Yes,Yes,"2015, July","Available. Released 2015, August",151.8 x 74.9 x 9.9 mm (5.98 x 2.95 x 0.39 in),175 g (6.17 oz),"Dual SIM (Nano-SIM, dual stand-by)",5.5 inches (~73.3% screen-to-body ratio),No,Non-removable Li-Po 3300 mAh battery,,,Octa-core (4x1.56 GHz Cortex-A53 & 4x1.82 GHz Cortex-A57),16384,"Android OS, v5.1 (Lollipop), upgradable to v6.0.1 (Marshmallow)",13
OnePlus X,OnePlus,GSM / HSPA / LTE,Yes,Yes,"2015, October","Available. Released 2015, November",140 x 69 x 6.9 mm (5.51 x 2.72 x 0.27 in),138 g / 160 g (4.87 oz),"Dual SIM (Nano-SIM, dual stand-by)",5.0 inches (~71.3% screen-to-body ratio),"microSD, 128192 (uses SIM 2 slot)",Non-removable Li-Po 2525 mAh battery,,,Quad-core 2.3 GHz Krait 400,16384,"Android OS, v5.1.1 (Lollipop)",13
OnePlus 3,OnePlus,GSM / HSPA / EVDO / LTE,Yes,Yes,"2016, June","Available. Released 2016, June",152.7 x 74.7 x 7.4 mm (6.01 x 2.94 x 0.29 in),158 g (5.57 oz),"Dual SIM (Nano-SIM, dual stand-by)",5.5 inches (~73.1% screen-to-body ratio),No,Non-removable Li-Ion 3000 mAh battery,,,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),65536,"Android OS, v6.0.1 (Marshmallow)",16
OnePlus 3T,OnePlus,GSM / HSPA / EVDO / LTE,Yes,Yes,"2016, November","Available. Released 2016, November",152.7 x 74.7 x 7.4 mm (6.01 x 2.94 x 0.29 in),158 g (5.57 oz),"Dual SIM (Nano-SIM, dual stand-by)",5.5 inches (~73.1% screen-to-body ratio),No,Non-removable Li-Ion 3400 mAh battery,,,Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo),65536,"Android OS, v6.0.1 (Marshmallow), planned upgrade to v7.0 (Nougat)",16
LG LG-200,LG,GSM,No,No,,Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Monochrome graphic,No,Removable Li-Ion 600 mAh battery,120,3,,,,
LG LG-500,LG,GSM,No,No,2002,Discontinued,109 x 46 x 20 mm (4.29 x 1.81 x 0.79 in),90 g (3.17 oz),Mini-SIM,Monochrome graphic,No,Removable Li-Ion 600 mAh battery,150,2,,,,
LG LG-600,LG,GSM,No,No,2002,Discontinued,80 x 44 x 24 mm (3.15 x 1.73 x 0.94 in),90 g (3.17 oz),Mini-SIM,Monochrome graphic,No,Removable Li-Ion 600 mAh battery,150,2,,,,
LG W3000,LG,GSM,No,No,"2002, 3Q",Discontinued,102 x 45 x 20 mm (4.02 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,"Grayscale graphic, 4 shades",No,Removable Li-Ion 850 mAh battery,250,4,,,,
LG W5200,LG,GSM,No,No,"2002, 3Q",Discontinued,84 x 45 x 20 mm (3.31 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,"Grayscale graphic, 4 shades",No,Removable Li-Po 780 mAh battery,200,4,,,,
LG G3000,LG,GSM,Class 8,No,"2003, 1Q",Discontinued,102 x 45 x 20 mm (4.02 x 1.77 x 0.79 in),79 g (2.79 oz),Mini-SIM,"Grayscale graphic, 4 shades",No,Removable Li-Ion 850 mAh battery,250,4,,,,
LG G5200,LG,GSM,Yes,No,"2002, 3Q",Discontinued,84 x 45 x 20 mm (3.31 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,"Grayscale graphic, 4 shades",No,Removable Li-Po 780 mAh battery,200,4,,,,
LG W7000,LG,GSM,No,No,"2002, 4Q",Discontinued,88 x 45 x 22 mm (3.46 x 1.77 x 0.87 in),89 g (3.14 oz),Mini-SIM,"STN, 256 colors",No,Removable Li-Po 820 mAh battery,200,4,,,,
LG G7000,LG,GSM,Class 10,No,"2002, 4Q",Discontinued,90 x 45 x 20 mm (3.54 x 1.77 x 0.79 in),93 g (3.28 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Po 820 mAh battery,200,4,,,,
LG W7020,LG,GSM,No,No,"2002, 4Q",Discontinued,88 x 45 x 22 mm (3.46 x 1.77 x 0.87 in),89 g (3.14 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Po 820 mAh battery,200,4,,,,
LG G8000,LG,GSM,Class 10,No,"2003, 1Q",Discontinued,94 x 50 x 23 mm (3.70 x 1.97 x 0.91 in),120 g (4.23 oz),Mini-SIM,"TFD, 65K colors",No,Removable Li-Ion 810 mAh battery,200,3,,,,
LG G7020,LG,GSM,Class 10,No,"2002, 4Q",Discontinued,88 x 45 x 22 mm (3.46 x 1.77 x 0.87 in),89 g (3.14 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Po 820 mAh battery,200,4,,,,
LG G5300,LG,GSM,Class 10,No,"2003, 1Q",Discontinued,106 x 42 x 22 mm (4.17 x 1.65 x 0.87 in),85 g (3.00 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 850 mAh battery,200,3,,,,
LG G5400,LG,GSM,Class 10,No,"2003, 2Q",Discontinued,86 x 46 x 22 mm (3.39 x 1.81 x 0.87 in),85 g (3.00 oz),Mini-SIM,"UFB, 65K colors",No,Removable Li-Ion 760 mAh battery,230,3,,,,
LG G7030,LG,GSM,Class 10,No,"2003, 3Q",Discontinued,85 x 45 x 23 mm (3.35 x 1.77 x 0.91 in),88 g (3.10 oz),Mini-SIM,"UFB, 65K colors",No,Removable Li-Ion 720 mAh battery,200,2,,,,
LG G7100,LG,GSM,Class 10,No,"2003, 2Q",Discontinued,90 x 48 x 24 mm (3.54 x 1.89 x 0.94 in),93 g (3.28 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 780 mAh battery,200,2,,,,
LG G7070,LG,GSM,Class 10,No,"2003, 2Q",Discontinued,99 x 46 x 22 mm (3.90 x 1.81 x 0.87 in),95 g (3.35 oz),Mini-SIM,"UFB, 65K colors",No,Removable Li-Ion 720 mAh battery,200,2,,,,
LG G7050,LG,GSM,Class 10,No,"2003, 4Q",Discontinued,94 x 44 x 21 mm (3.70 x 1.73 x 0.83 in),89 g (3.14 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 760 mAh battery,200,2,,,,
LG LG 510w,LG,GSM,No,No,2002,Discontinued,83 x 45 x 19 mm (3.27 x 1.77 x 0.75 in),78 g (2.75 oz),Mini-SIM,Monochrome graphic,No,Removable Li-Po 630 mAh battery,200,2,,,,
LG B1200,LG,GSM,No,No,"June, 2002",Discontinued,106 x 44 x 25 mm (4.17 x 1.73 x 0.98 in),80 g (2.82 oz),Mini-SIM,Monochrome graphic,No,Removable Li-Ion 650 mAh battery,150,2,,,,
LG U8100,LG,GSM / UMTS,Class 10,No,"2003, 3Q",Discontinued,96 x 50 x 22 mm (3.78 x 1.97 x 0.87 in),120 g (4.23 oz),Mini-SIM,"TFD, 64K colors",No,Removable Li-Po 1050 mAh battery,200,2,,,,
LG U8150,LG,GSM / UMTS,Class 10,No,"2003, 3Q",Discontinued,99 x 50 x 24 mm (3.90 x 1.97 x 0.94 in),136 g (4.80 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Po 1200 mAh battery,200,2,,,,
LG G5310,LG,GSM,Yes,No,"2003, 3Q",Discontinued,106 x 42 x 22 mm (4.17 x 1.65 x 0.87 in),85 g (3.00 oz),Mini-SIM,"UFB, 65K colors",No,Removable Li-Ion 760 mAh battery,230,3,,,,
LG G5500,LG,GSM,Class 10,No,"2003, 4Q",Discontinued,92 x 42 x 21 mm (3.62 x 1.65 x 0.83 in),81 g (2.86 oz),Mini-SIM,"UFB, 65K colors",No,Removable Li-Ion 760 mAh battery,190,2,,,,
LG G7120,LG,GSM,Class 10,No,"2004, 1Q",Discontinued,89 x 48 x 24 mm (3.50 x 1.89 x 0.94 in),101 g (3.56 oz),Mini-SIM,"UFB, 65K colors",No,Removable Li-Ion 780 mAh battery,200,2,,,,
LG G1500,LG,GSM,No,No,"2004, 1Q",Discontinued,105 x 44 x 21 mm (4.13 x 1.73 x 0.83 in),80 g (2.82 oz),Mini-SIM,Grayscale graphic,No,Removable Li-Ion 850 mAh battery,200,3,,,,
LG T5100,LG,GSM,Class 10,No,"2004, 1Q",Discontinued,103 x 48 x 26 mm (4.06 x 1.89 x 1.02 in),120 g (4.23 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion battery,200,2,,,,1.3
LG G7200,LG,GSM,Yes,No,"2004, 1Q",Discontinued,93 x 49 x 26.5 mm (3.66 x 1.93 x 1.04 in),116 g (4.09 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 850 mAh battery,200,2,,,,
LG G1600,LG,GSM,Class 10,No,"2004, 2Q",Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),83 g (2.93 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 950 mAh battery,250,4,,,,
LG U8110,LG,GSM / UMTS,Class 10,No,"2004, 2Q",Discontinued,96 x 50 x 23 mm (3.78 x 1.97 x 0.91 in),126 g (4.44 oz),Mini-SIM,"TFT, 64K colors",No,Removable Li-Po 1200 mAh battery,120,2,,,,
LG L1100,LG,GSM,Class 10,No,"2004, 2Q",Discontinued,89 x 50.4 x 24.1 mm (3.50 x 1.98 x 0.95 in),90 g (3.17 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion 950 mAh battery,250,2,,,,
LG L3100,LG,GSM,Class 10,No,"2004, 2Q",Discontinued,105 x 44 x 18 mm (4.13 x 1.73 x 0.71 in),87 g (3.07 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion 950 mAh battery,250,2,,,,
LG C3100,LG,GSM,Class 10,No,"2004, 2Q",Discontinued,104 x 44 x 17.9 mm (4.09 x 1.73 x 0.70 in),85 g (3.00 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion battery,,,,,,
LG C1200,LG,GSM,Class 10,No,"2004, 1Q",Discontinued,82 x 45 x 22 mm (3.23 x 1.77 x 0.87 in),81 g (2.86 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 760 mAh battery,200,5,,,,
LG C1100,LG,GSM,Class 10,No,"2004, 1Q",Discontinued,82 x 43 x 22.5 mm (3.23 x 1.69 x 0.89 in),85 g (3.00 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 780 mAh battery,250,4,,,,
LG C1400,LG,GSM,Class 10,No,"2004, 1Q",Discontinued,88.5 x 47.2 x 24.6 mm (3.48 x 1.86 x 0.97 in),92 g (3.25 oz),Mini-SIM,"UFB, 65K colors",No,Removable Li-Ion 760 mAh battery,230,3,,,,
LG U8120,LG,GSM / UMTS,Class 10,No,"2004, 2Q",Discontinued,96 x 50 x 23 mm (3.78 x 1.97 x 0.91 in),126 g (4.44 oz),Mini-SIM,"TFT, 64K colors",No,Removable Li-Po 700 mAh battery,120,2,,,,
LG G3100,LG,GSM,Class 10,No,"2004, 2Q",Discontinued,84 x 44 x 20.5 mm (3.31 x 1.73 x 0.81 in),83 g (2.93 oz),Mini-SIM,"STN, 4096 colors",No,Removable Li-Ion 850 mAh battery,350,5,,,,
LG F2100,LG,GSM,Class 10,No,"2004, 3Q",Discontinued,90 x 47 x 23 mm (3.54 x 1.85 x 0.91 in),90 g (3.17 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 800 mAh battery,200,3,,,,
LG C2200,LG,GSM,Class 10,No,"2004, 3Q",Discontinued,84 x 46 x 23.5 mm (3.31 x 1.81 x 0.93 in),99 g (3.49 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion 760 mAh battery,200,2,,,,
LG L5100,LG,GSM,Class 10,No,"2004, 3Q",Discontinued,98 x 48 x 26 mm (3.86 x 1.89 x 1.02 in),120 g (4.23 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion battery,200,2,,,,1.3
LG A7150,LG,GSM,Class 10,Yes,"2004, 4Q",Discontinued,92 x 47 x 24 mm (3.62 x 1.85 x 0.94 in),110 g (3.88 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion 950 mAh battery,100,4,,,,
LG F7250,LG,GSM,Class 10,No,"2004, 4Q",Discontinued,98 x 49 x 25 mm (3.86 x 1.93 x 0.98 in),115 g (4.06 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion 950 mAh battery,200,2,,,,
LG G1800,LG,GSM,Class 8,No,"2004, 4Q",Discontinued,99 x 45 x 17 mm (3.90 x 1.77 x 0.67 in),78 g (2.75 oz),Mini-SIM,"STN, 256K colors",No,Removable Li-Ion 720 mAh battery,300,3,,,,
LG G1700,LG,GSM,Yes,No,"2004, 4Q",Discontinued,101 x 44 x 22 mm (3.98 x 1.73 x 0.87 in),80 g (2.82 oz),Mini-SIM,"STN, 4096 colors",No,Removable Li-Ion 700 mAh battery,300,2,,,,
LG F2300,LG,GSM,Class 10,No,"2005, 1Q",Discontinued,88 x 46 x 24 mm (3.46 x 1.81 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion 1000 mAh battery,200,3,,,,
LG G1610,LG,GSM,Class 10,No,"2005, 1Q",Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),83 g (2.93 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 950 mAh battery,200,2,,,,
LG M4300,LG,GSM,Class 10,Class 6,"2005, 1Q",Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),110 g (3.88 oz),Mini-SIM,"TFT, 256K colors",miniSD,Removable Li-Ion battery,,,,,,
LG C3300,LG,GSM,Class 10,No,"2005, 1Q",Discontinued,91 x 47 x 25 mm (3.58 x 1.85 x 0.98 in),93 g (3.28 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 1000 mAh battery,300,5,,,,
LG C3310,LG,GSM,Class 10,No,"2005, 1Q",Discontinued,88.8 x 47.3 x 24.5 mm (3.50 x 1.86 x 0.96 in),92 g (3.25 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 1000 mAh battery,200,3,,,,
LG C3400,LG,GSM,Class 10,No,"2005, 1Q",Discontinued,91 x 47 x 24 mm (3.58 x 1.85 x 0.94 in),93 g (3.28 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion 1000 mAh battery,200,3,,,,
LG U8200,LG,GSM / UMTS,Class 10,No,"2005, 1Q",Discontinued,89.5 x 47.5 x 24.5 mm (3.52 x 1.87 x 0.96 in),125 g (4.41 oz),Mini-SIM,"TFT, 65K colors",microSD,Removable Li-Ion battery,250,2,,,,
LG U8210,LG,GSM / UMTS,Class 10,No,"2005, 1Q",Discontinued,89.8 x 47.7 x 24.8 mm (3.54 x 1.88 x 0.98 in),115 g (4.06 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Po 1400 mAh battery,250,3,,,,
LG U8138,LG,GSM / UMTS,Class 10,No,"2004, 3Q",Discontinued,95.7 x 49.5 x 22.4 mm (3.77 x 1.95 x 0.88 in),126 g (4.44 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 1000 mAh battery,120,2,,,,
LG F1200,LG,GSM,Class 10,No,"2005, 1Q",Discontinued,95 x 49 x 24 mm (3.74 x 1.93 x 0.94 in),101 g (3.56 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 1050 mAh battery,200,3,,,,
LG B2000,LG,GSM,Class 10,No,"2005, 1Q",Discontinued,104 x 43 x 15.9 mm (4.09 x 1.69 x 0.63 in),73 g (2.57 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion 780 mAh battery,200,2,,,,
LG B2100,LG,GSM,Class 10,No,"2005, 2Q",Discontinued,103 x 43 x 16 mm (4.06 x 1.69 x 0.63 in),73 g (2.57 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion 780 mAh battery,250,3,,,,
LG C3320,LG,GSM,Class 10,No,"2005, 1Q",Discontinued,88 x 47 x 24 mm (3.46 x 1.85 x 0.94 in),90 g (3.17 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion battery,200,,,,,
LG C2100,LG,GSM,Class 10,No,"2005, 1Q",Discontinued,88 x 47 x 24 mm (3.46 x 1.85 x 0.94 in),90 g (3.17 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion 950 mAh battery,200,3,,,,
LG U8180,LG,GSM / UMTS,Class 10,No,"2004, 3Q",Discontinued,95.7 x 49.5 x 22.4 mm (3.77 x 1.95 x 0.88 in),126 g (4.44 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 1000 mAh battery,120,2,,,,
LG F2400,LG,GSM,Class 10,No,"2005, 2Q",Discontinued,86 x 44 x 23 mm (3.39 x 1.73 x 0.91 in),85 g (3.00 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion battery,300,2,,,,
LG L341i,LG,GSM,Class 10,No,"2005, 2Q",Discontinued,105 x 43 x 19.5 mm (4.13 x 1.69 x 0.77 in),90 g (3.17 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion 950 mAh battery,100,2,,,,
LG M4410,LG,GSM,Class 10,Class 6,"2005, 1Q",Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),107 g (3.77 oz),Mini-SIM,"TFT, 256K colors",miniSD,Removable Li-Ion 1000 mAh battery,200,3,,,,1.3
LG L342i,LG,GSM,Class 10,No,"2005, 2Q",Discontinued,91 x 44 x 24.7 mm (3.58 x 1.73 x 0.97 in),90 g (3.17 oz),Mini-SIM,"STN, 65K colors",No,Removable Li-Ion 1000 mAh battery,100,3,,,,
LG M4330,LG,GSM,Class 10,Class 6,"2005, 2Q",Cancelled,,110 g (3.88 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion battery,,,,,,
LG F2410,LG,GSM,Class 10,No,"2005, 2Q",Discontinued,88 x 45 x 23.9 mm (3.46 x 1.77 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion 1000 mAh battery,200,2,,,,
LG B2250,LG,GSM,Class 10,No,"2005, 3Q",Discontinued,107 x 45 x 17 mm (4.21 x 1.77 x 0.67 in),85 g (3.00 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 780 mAh battery,250,3,,,,
LG P7200,LG,GSM,Class 10,No,"2005, August",Discontinued,96 x 50 x 17 mm (3.78 x 1.97 x 0.67 in),112 g (3.95 oz),Mini-SIM,"TFT, 256K colors","microSD, 128 MB",Removable Li-Ion 800 mAh battery,100,2,,,,2
LG U8380,LG,GSM / UMTS,Class 10,No,"2005, June",Discontinued,95.7 x 49.5 x 23.7 mm (3.77 x 1.95 x 0.93 in),130 g (4.59 oz),Mini-SIM,"TFT, 256K colors","microSD, 256 MB",Removable Li-Ion battery,165,3,,,,1.3
LG U8360,LG,GSM / UMTS,Class 10,No,"2005, June",Discontinued,92 x 49 x 24 mm (3.62 x 1.93 x 0.94 in),132 g (4.66 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Ion 1400 mAh battery,220,3,,,,1.3
LG U8330,LG,GSM / UMTS,Class 10,No,"2005, June",Discontinued,96 x 49 x 24 mm (3.78 x 1.93 x 0.94 in),120 g (4.23 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 1400 mAh battery,120,2,,,,
LG U880,LG,GSM / UMTS,Class 10,No,"2005, October",Discontinued,"98.8 x 49 x 18.2 mm, 80 cc (3.89 x 1.93 x 0.72 in)",99 g (3.49 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Ion 1050 mAh battery,236,4,,,,1.3
LG F2250,LG,GSM,Class 10,No,"2005, 3Q",Discontinued,87 x 45 x 23 mm (3.43 x 1.77 x 0.91 in),90 g (3.17 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion battery,190,3,,,,
LG S5200,LG,GSM,Class 10,No,"2005, October",Discontinued,92 x 46 x 21.7 mm (3.62 x 1.81 x 0.85 in),92 g (3.25 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 800 mAh battery,200,2,,,,1.3
LG S5100,LG,GSM,Class 10,No,"2005, October",Discontinued,90 x 46.2 x 23 mm (3.54 x 1.82 x 0.91 in),95 g (3.35 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 1000 mAh battery,,,,,,1.3
LG F3000,LG,GSM,Class 10,No,"2005, 3Q",Discontinued,88 x 47 x 23.9 mm (3.46 x 1.85 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT, 65K colors",No,Removable Li-Ion 1000 mAh battery,200,3,,,,1.3
LG C1150,LG,GSM,Class 10,No,"2005, November",Discontinued,82 x 43 x 23.5 mm (3.23 x 1.69 x 0.93 in),99 g (3.49 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion 720 mAh battery,100,4,,,,
LG B2050,LG,GSM,Class 10,No,"2005, 3Q",Discontinued,105 x 44 x 15.9 mm (4.13 x 1.73 x 0.63 in),72 g (2.54 oz),Mini-SIM,"CSN, 65K colors",No,Removable Li-Ion 780 mAh battery,200,2,,,,
LG M6100,LG,GSM,Class 10,No,"2006, January",Discontinued,89.7 x 40 x 19.9 mm (3.53 x 1.57 x 0.78 in),88 g (3.10 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 800 mAh battery,200,3,,,,1.3
LG KG920,LG,GSM,Class 10,No,"2006, February",Discontinued,108 x 50 x 18 mm (4.25 x 1.97 x 0.71 in),138 g (4.87 oz),Mini-SIM,"TFT, 256K colors",miniSD,Removable Li-Ion 820 mAh battery,180,3,,,,5
LG KU730,LG,GSM / UMTS,Class 10,Class 10,"2006, February",Discontinued,96.9 x 46.9 x 19.5 mm (3.81 x 1.85 x 0.77 in),105 g (3.70 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Ion 1050 mAh battery,190,3,,,,1.3
LG V9000,LG,GSM / UMTS,Yes,No,"2006, February",Discontinued,103 x 50 x 23.5 mm (4.06 x 1.97 x 0.93 in),142 g (5.01 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Ion 1400 mAh battery,,,,,,1.3
LG U8550,LG,GSM / UMTS,Class 10,No,"2006, February",Discontinued,90 x 55 x 24.7 mm (3.54 x 2.17 x 0.97 in),135 g (4.76 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Ion 1440 mAh battery,220,,,,,1.3
LG U890,LG,GSM / UMTS,Class 10,No,"2006, February",Discontinued,"98.8 x 49 x 18.2 mm, 80 cc (3.89 x 1.93 x 0.72 in)",99 g (3.49 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Ion battery,,,,,,1.3
LG S5300,LG,GSM,Class 10,Yes,"2006, February",Discontinued,92 x 46 x 21.7 mm (3.62 x 1.81 x 0.85 in),92 g (3.25 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion battery,,,,,,1.3
LG KG320,LG,GSM,Yes,No,"2006, March",Discontinued,96 x 46 x 9.9 mm (3.78 x 1.81 x 0.39 in),70 g (2.47 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion battery,,,,,,1.3
LG KE600,LG,GSM,Class 10,Class 10,"2006, March",Discontinued,97 x 46 x 18.9 mm (3.82 x 1.81 x 0.74 in),90 g (3.17 oz),Mini-SIM,"TFT, 256K colors","microSD, 128 MB included",Removable Li-Ion battery,,,,,,2
LG KG800,LG,GSM,Class 10,No,"2006, March",Discontinued,95 x 48 x 15.2 mm (3.74 x 1.89 x 0.60 in),83 g (2.93 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 800 mAh battery,200,6,,,,1.3
LG KG225,LG,GSM,Yes,No,"2006, April",Discontinued,84.5 x 45 x 22.2 mm (3.33 x 1.77 x 0.87 in),70 g (2.47 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion battery,200,,,,,
LG KG220,LG,GSM,Yes,No,"2006, April",Discontinued,81.8 x 43.4 x 23.3 mm (3.22 x 1.71 x 0.92 in),73 g (2.57 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion 830 mAh battery,200,3,,,,
LG U900,LG,GSM / UMTS,Yes,No,"2006, April",Cancelled,100.6 x 50.6 x 21.4 mm (3.96 x 1.99 x 0.84 in),110 g (3.88 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Ion 950 mAh battery,250,3,,,,1.3
LG KG210,LG,GSM,Class 10,No,"2006, April",Discontinued,84.5 x 45.5 x 21.7 mm (3.33 x 1.79 x 0.85 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion 830 mAh battery,200,3,,,,
LG KG810,LG,GSM,Class 10,No,"2006, May",Discontinued,92 x 47 x 14.9 mm (3.62 x 1.85 x 0.59 in),83 g (2.93 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 700 mAh battery,200,,,,,1.3
LG KG245,LG,GSM,Class 10,No,"2006, April",Discontinued,89 x 46 x 21.9 mm (3.50 x 1.81 x 0.86 in),70 g (2.47 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 830 mAh battery,200,3,,,,
LG U400,LG,GSM / UMTS,Yes,Yes,"2006, July",Discontinued,99.8 x 48 x 20.4 mm (3.93 x 1.89 x 0.80 in),114 g (4.02 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Ion battery,,,,,,2
LG U300,LG,GSM / UMTS,Yes,Yes,"2006, July",Discontinued,96 x 49 x 21.9 mm (3.78 x 1.93 x 0.86 in),93 g (3.28 oz),Mini-SIM,"TFT, 256K colors",microSD,Removable Li-Ion battery,230,,,,,1.3
LG CU500,LG,GSM / HSPA,Yes,Yes,"2006, July",Discontinued,96.5 x 49.5 x 19.3 mm (3.80 x 1.95 x 0.76 in),105 g (3.70 oz),Mini-SIM,"TFT, 65K colors","microSD, 1 GB",Removable Li-Po 1100 mAh battery,240,5,,,,1.3
LG KG240,LG,GSM,Class 10,No,"2006, June",Discontinued,89 x 46 x 21.8 mm (3.50 x 1.81 x 0.86 in),79 g (2.79 oz),Mini-SIM,"TFT, 256K colors",No,Removable Li-Ion 830 mAh battery,200,4,,,,
LG C2500,LG,GSM,Class 10,No,"2005, December",Discontinued,101 x 46 x 18 mm (3.98 x 1.81 x 0.71 in),80 g (2.82 oz),Mini-SIM,"CSTN, 65K colors",No,Removable Li-Ion 720 mAh battery,250,3,,,,
LG KG190,LG,GSM,Class 8,No,"2006, May",Discontinued,84.5 x 45.5 x 17 mm (3.33 x 1.79 x 0.67 in),85 g (3.00 oz),Mini-SIM,"CSTN, 256K colors",No,Removable Li-Ion 720 mAh battery,,,,,,
Huawei T201,Huawei,GSM,No,No,2008,Discontinued,-,-,Mini-SIM,1.5 inches,No,Removable Li-Ion battery,,,,,,
Huawei T330,Huawei,GSM,No,No,"2008, Q3",Discontinued,-,-,Mini-SIM,1.5 inches,No,Removable Li-Ion battery,,,,,,
Huawei T161L,Huawei,GSM,No,No,"2008, Q3",Discontinued,-,-,Mini-SIM,1.4 inches,No,Removable Li-Ion battery,,,,,,
Huawei T211,Huawei,GSM,No,No,"2008, Q3",Discontinued,-,-,Mini-SIM,1.5 inches,No,Removable Li-Ion battery,,,,,,
Huawei T261L,Huawei,GSM,No,No,"2008, Q3",Discontinued,-,-,Mini-SIM,1.5 inches,No,Removable Li-Ion battery,,,,,,
